EmployeeID,Name,Department,City,Age,Experience,Salary,Bonus,PerformanceRating,ProjectsCompleted,JoiningDate
31,Meera,Finance,Delhi,39,16,1168939,152401,3.8,19,2025-09-01
32,Reyansh,Operations,Ahmedabad,29,4,492071,38058,4.0,4,2019-05-20
33,Riya,IT,Mumbai,34,9,1309919,138065,2.0,1,2016-11-14
34,Meera,IT,Delhi,42,19,1586123,78670,1.6,14,2023-12-14
35,Arjun,IT,Pune,25,2,1394185,19444,4.3,18,2023-03-14
36,Meera,Support,Chennai,44,23,1000380,65070,3.7,21,2016-06-25
37,Sai,Operations,Ahmedabad,60,37,746474,52598,4.9,25,2017-07-01
38,Sneha,HR,Hyderabad,47,23,809532,51732,4.1,3,2021-01-28
39,Riya,Support,Delhi,50,24,890031,69662,1.9,21,2018-07-11
40,Riya,HR,Pune,38,12,1595284,143537,2.6,17,2020-01-04
41,Pooja,IT,Chennai,23,1,1501100,123918,2.4,25,2020-07-20
42,Reyansh,Finance,Chennai,57,33,784191,21635,3.8,0,2023-09-22
43,Amit,Finance,Chennai,25,0,1556851,92291,3.7,3,2019-09-10
44,Rohan,Marketing,Pune,39,10,516941,60289,2.7,12,2025-12-06
45,Priya,Sales,Kolkata,46,17,250851,89658,-inf,13,2024-10-21
46,Ananya,Marketing,Ahmedabad,49,25,1322009,134042,4.2,25,2017-11-03
47,Shrey,Sales,Delhi,26,2,1660954,91374,1.9,6,2017-01-02
48,Shrey,HR,Mumbai,50,23,1570713,160908,1.8,22,2021-08-13
49,Meera,HR,Delhi,27,0,708943,56107,4.2,22,2023-08-02
50,Karan,Marketing,Chennai,50,27,1224427,185001,3.1,17,2024-06-25
51,Pooja,Sales,Hyderabad,56,28,583778,134433,2.8,24,2018-11-09
52,Aditya,HR,Bengaluru,38,10,-inf,197051,2.1,8,2020-06-18
53,Meera,Sales,Chennai,35,8,1705318,50056,3.8,2,2021-07-11
54,Sneha,IT,Ahmedabad,24,0,1131104,112099,4.6,18,2015-10-13
55,Shrey,Finance,Chennai,40,13,1128751,151091,4.0,17,2024-04-16
56,Karan,HR,Mumbai,52,31,1065492,98114,3.7,25,2021-12-06
57,Karan,HR,Mumbai,46,16,1433615,183801,1.1,20,2021-03-28
58,Amit,Finance,Delhi,37,10,936508,65485,2.8,10,2021-05-25
59,Vivaan,Support,Mumbai,51,30,1381243,23653,5.0,11,2018-11-03
60,Ishita,HR,Kolkata,36,12,292739,172879,1.6,4,2022-11-04
61,Vihaan,Marketing,Mumbai,37,11,601879,168831,3.4,23,2016-03-10
62,Shrey,IT,Pune,40,10,1670500,108384,2.6,22,2018-02-19
63,Pooja,Operations,Ahmedabad,59,37,1436846,20766,2.4,13,2025-06-03
64,Arjun,Sales,Bengaluru,21,0,1278027,37666,2.7,11,2025-08-23
65,Riya,Finance,Hyderabad,54,29,1541661,151078,4.1,14,2021-12-19
66,Priya,IT,Kolkata,26,1,1195400,73927,4.0,18,2024-11-13
67,Riya,Marketing,Mumbai,41,18,1272466,65605,2.4,8,2020-05-20
68,Sneha,Operations,Kolkata,54,30,429543,73270,3.9,15,2023-04-23
69,Ishita,Finance,Kolkata,49,28,445147,87132,1.9,22,2018-05-22
70,Karan,Finance,Pune,56,27,,121543,5.0,17,2020-06-23
71,Reyansh,HR,Kolkata,37,13,503033,199080,1.8,3,2023-12-06
72,Neha,HR,Pune,38,8,1350243,166445,2.1,3,2018-05-08
73,Arjun,Operations,Kolkata,21,0,515463,81909,1.2,1,2023-05-23
74,Riya,Support,Kolkata,27,6,1453899,84537,2.9,14,2020-03-02
75,Arjun,Support,Pune,28,6,1090344,138908,1.3,20,2025-01-05
76,Pooja,Sales,Kolkata,26,2,498410,156295,4.1,19,2024-10-08
77,Vihaan,Support,Hyderabad,49,24,1484226,122415,2.2,19,2015-10-24
78,Aarav,Sales,Kolkata,34,9,1635018,31282,1.6,5,2023-02-06
79,Karan,IT,Hyderabad,59,31,,18556,1.9,22,2019-12-28
80,Riya,Support,Bengaluru,37,7,1636601,61857,2.7,17,2018-11-05
81,Karan,Operations,Pune,25,4,597965,90638,3.4,18,2019-08-04
82,Priya,Marketing,Pune,46,21,1299566,151552,3.0,2,2024-01-14
83,Riya,Marketing,Mumbai,,0,730089,186763,4.3,18,2024-01-25
84,Sneha,IT,Kolkata,32,4,1338346,180789,2.8,8,2017-10-14
85,Sneha,Finance,Chennai,43,16,948998,94163,3.7,5,2020-07-23
86,Pooja,Support,Mumbai,56,35,1203839,33084,2.3,10,2016-07-28
87,Karan,Support,Mumbai,55,27,1116642,24209,1.8,11,2024-08-21
88,Rohan,Support,Hyderabad,34,9,1401797,44344,4.7,14,2022-02-01
89,Vihaan,Operations,Bengaluru,31,6,1405193,13584,3.2,2,2018-02-15
90,Meera,HR,Chennai,52,27,1317181,194919,2.1,15,2022-04-15
385,Pooja,Finance,Mumbai,33,3,1315858,45784,4.5,8,2021-06-26
92,Sneha,Finance,Ahmedabad,39,14,1480897,162023,5.0,15,2017-08-18
93,Shrey,Support,Chennai,56,27,1041066,129365,4.7,6,2018-10-13
94,Arjun,Sales,Mumbai,23,0,1241903,194871,4.7,12,2021-11-26
95,Aarav,Operations,Bengaluru,29,0,1487698,97030,4.5,14,2016-09-15
96,Rahul,Operations,Delhi,47,24,406926,133074,4.1,8,2020-10-23
97,Rohan,IT,Hyderabad,42,13,1046937,93010,3.5,24,2022-09-02
98,Vihaan,Sales,Bengaluru,39,15,439539,123763,4.9,24,2025-12-28
99,Arjun,HR,Chennai,40,19,346450,95032,4.2,9,2020-06-14
100,Sneha,Marketing,Bengaluru,57,34,606481,55893,1.3,12,2024-11-08
101,Meera,HR,Delhi,35,7,1587782,76578,2.8,21,2015-08-10
102,Ananya,HR,Chennai,49,23,1482227,88421,3.6,13,2019-08-28
103,Aarav,Support,Chennai,51,29,747456,109972,3.3,18,2019-12-10
104,Ananya,Support,Hyderabad,38,17,1436839,189778,4.1,1,2024-12-16
105,Arjun,Operations,Delhi,59,33,709285,176885,1.8,8,2025-12-25
106,Priya,Operations,Chennai,23,0,1174473,18746,3.3,23,2017-02-10
138,Arjun,HR,Delhi,31,9,1320561,175996,1.5,16,2018-06-12
108,Rahul,Support,Ahmedabad,39,13,491528,132770,4.9,4,2018-11-24
109,Riya,Marketing,Chennai,26,0,279189,79326,3.1,14,2020-11-24
110,Shrey,Operations,Delhi,44,22,1665234,71295,2.9,19,2023-06-20
111,Vihaan,IT,Hyderabad,50,25,1611553,117032,1.5,1,2015-05-16
112,Arjun,Sales,Delhi,55,32,1065049,128919,2.5,23,2023-07-19
113,Shrey,Support,Ahmedabad,52,22,1105881,83332,1.1,11,2018-08-15
114,Karan,IT,Hyderabad,27,1,1391827,179037,2.4,12,2019-04-04
115,Meera,HR,Hyderabad,59,38,356070,97427,,4,2024-04-03
116,Sai,IT,Mumbai,35,9,559443,166233,1.0,4,2017-09-09
117,Arjun,Operations,Chennai,29,8,1001288,72372,3.4,0,2017-05-02
118,Karan,Marketing,Hyderabad,54,32,383290,134845,2.8,11,2023-10-04
119,Sneha,Support,Chennai,60,39,1775139,182727,3.1,14,2025-01-02
120,Arjun,IT,Bengaluru,48,26,1278168,196751,4.6,2,2016-06-20
121,Ananya,Sales,Chennai,38,8,1577658,163449,3.2,10,2021-10-17
122,Shrey,Sales,Ahmedabad,27,5,1623032,180633,4.5,17,2018-07-15
123,Arjun,Operations,Kolkata,50,23,1122393,34926,2.3,10,2025-05-12
124,Vivaan,Marketing,Ahmedabad,25,3,429022,34439,2.7,23,2020-03-18
125,Ananya,Finance,Delhi,28,1,991548,184415,4.8,13,2015-05-20
126,Meera,Finance,Delhi,57,28,696145,50561,3.6,7,2016-06-28
127,Meera,IT,Pune,38,8,724289,122489,4.4,24,2024-10-22
128,Arjun,Marketing,Chennai,22,0,823089,194208,4.0,10,2020-01-06
129,Karan,Finance,Bengaluru,25,2,1577857,18036,1.4,16,2018-07-14
130,Arjun,HR,Mumbai,44,19,1763296,95035,4.1,18,2024-02-02
131,Reyansh,Support,Delhi,26,1,1179275,183523,2.7,19,2022-07-09
132,Ananya,IT,Hyderabad,43,16,482552,84251,3.7,18,2022-09-22
133,Priya,IT,Mumbai,46,16,364886,12015,1.8,6,2017-05-10
134,Neha,IT,Chennai,,25,618458,43865,2.5,22,2018-09-18
135,Rahul,Operations,Chennai,23,0,289303,130521,4.7,10,2024-07-19
136,Neha,IT,Chennai,39,17,1099414,15467,4.9,5,2024-08-27
137,Priya,HR,Ahmedabad,27,3,1163679,164369,2.6,2,2021-05-24
138,Arjun,HR,Delhi,31,9,1320561,175996,1.5,16,2018-06-12
139,Sneha,Sales,Kolkata,30,5,663708,55481,3.4,24,2025-02-06
140,Ananya,Support,Pune,57,27,927816,174421,2.3,14,2016-08-15
141,Neha,Support,Pune,58,37,988076,142995,1.3,14,2022-01-02
142,Vivaan,Sales,Hyderabad,25,3,1539766,165734,3.0,14,2024-09-26
143,Priya,Operations,Delhi,41,11,1247466,141430,1.6,1,2022-02-26
144,Sai,Finance,Ahmedabad,53,30,332086,74944,3.8,14,2023-09-20
145,Aditya,Finance,Delhi,39,12,1107251,98700,3.7,1,2025-11-11
146,Aditya,Marketing,Bengaluru,56,29,845899,76059,3.9,21,2024-03-11
1094,Ananya,Marketing,Chennai,43,18,1625846,193102,3.6,4,2024-12-03
148,Amit,Marketing,Ahmedabad,42,19,1655335,194242,4.3,23,2025-09-03
149,Arjun,HR,Delhi,22,0,897739,57254,4.8,10,2022-04-08
150,Rohan,HR,Chennai,39,17,1314702,151497,4.3,16,2015-11-11
151,Vivaan,Sales,Ahmedabad,30,7,629261,191625,4.1,25,2017-12-15
152,Shrey,Finance,Kolkata,36,8,1530511,84692,4.0,25,2022-04-18
153,Pooja,Sales,Bengaluru,33,7,1672512,159532,4.9,14,2019-07-17
154,Pooja,Support,Delhi,33,3,540242,75536,1.2,15,2020-09-04
155,Shrey,Support,Kolkata,39,17,586199,81510,2.8,16,2017-07-03
156,Neha,HR,Mumbai,43,22,1120101,23960,2.6,11,2018-07-03
157,Sneha,Operations,Bengaluru,41,19,1748843,180383,2.3,4,2017-01-10
158,Arjun,Marketing,Chennai,51,23,1540478,11376,4.6,0,2019-04-27
159,Rohan,Sales,Delhi,28,3,748367,88944,1.5,7,2021-11-26
964,Shrey,IT,Bengaluru,27,0,1531570,57497,1.8,18,2025-11-05
583,Shrey,HR,Pune,26,0,453975,129428,2.2,20,2022-08-08
162,Rahul,Finance,Pune,54,25,1313943,143070,3.2,12,2022-01-21
163,Ishita,Operations,Ahmedabad,22,0,391682,100387,2.0,21,2025-02-25
164,Sneha,Operations,Bengaluru,29,8,988824,153134,2.4,20,2017-11-15
165,Priya,Finance,Chennai,29,7,1751655,129977,1.1,6,2015-04-02
166,Vivaan,Support,Ahmedabad,55,27,781237,19599,4.0,6,2019-06-28
167,Sai,Sales,Kolkata,38,16,1021792,124544,4.6,23,2022-07-11
168,Sai,Marketing,Pune,44,15,809353,31656,3.9,2,2021-10-27
169,Amit,HR,Kolkata,41,19,417916,95962,3.6,9,2022-10-23
170,Vivaan,IT,Chennai,43,15,338825,,3.5,13,2019-11-26
171,Karan,IT,Bengaluru,44,15,1674827,51939,4.8,4,2024-11-26
172,Karan,Finance,Ahmedabad,25,1,1603004,106030,2.4,18,2015-10-05
173,Shrey,IT,Mumbai,49,27,1453601,46095,3.1,12,2020-11-09
174,Karan,HR,Pune,32,4,1335790,111446,4.7,3,2019-05-23
175,Aditya,Support,Ahmedabad,52,28,507189,45580,4.4,14,2017-12-15
176,Sai,Support,Ahmedabad,43,21,1403427,152126,2.2,9,2017-12-23
177,Meera,Marketing,Ahmedabad,53,29,504515,62685,4.2,7,2022-01-12
178,Sneha,Marketing,Chennai,50,21,522149,170418,4.5,2,2019-07-23
179,Pooja,Finance,Bengaluru,47,17,404666,42853,4.9,20,2016-08-15
180,Ananya,HR,Bengaluru,56,26,631604,43825,2.7,1,2016-09-05
181,Meera,,Bengaluru,41,17,975662,146025,4.6,2,2019-04-21
182,Sai,Operations,Ahmedabad,40,10,1368784,34491,3.0,5,2024-10-05
183,Reyansh,Support,Chennai,57,36,309503,31292,1.2,20,2024-05-21
184,Rahul,Finance,Kolkata,60,39,1294461,174407,3.2,20,2019-08-08
185,Arjun,Finance,Ahmedabad,25,4,581518,125239,2.7,14,2018-06-20
186,Vihaan,Finance,Kolkata,43,16,524236,107134,3.1,,2020-04-15
187,Sai,Support,Ahmedabad,36,13,453028,23265,2.2,12,2024-07-08
1074,Vihaan,HR,Kolkata,46,22,393947,82833,2.7,21,2019-10-21
189,Sneha,Marketing,Kolkata,46,17,1208882,73105,1.9,11,2015-01-10
190,Vivaan,Sales,Mumbai,39,10,267149,38179,2.7,8,2020-07-12
211,Meera,Finance,Delhi,57,28,658221,105033,3.2,2,2021-09-15
192,Arjun,HR,Chennai,29,7,1076075,107831,4.2,10,2023-06-25
193,Arjun,Marketing,Bengaluru,53,32,345008,20201,1.5,10,2022-09-15
194,Pooja,Support,Kolkata,41,11,918005,52598,2.6,19,2019-10-11
195,Ananya,Support,Mumbai,57,32,1245921,14361,2.5,21,2016-07-19
196,Vivaan,Marketing,Kolkata,59,31,806857,181859,4.1,24,2024-10-08
197,Vivaan,Marketing,Delhi,31,2,1569161,199053,3.5,12,2017-11-08
198,Rohan,Sales,Mumbai,33,12,1174924,92232,2.7,13,2018-07-17
199,Priya,HR,Kolkata,29,0,684827,157033,2.3,21,2022-09-13
200,Riya,Marketing,Kolkata,55,29,1395617,102874,3.7,23,2025-11-26
201,Sneha,Finance,Kolkata,33,9,835118,156299,2.2,9,2019-12-07
202,Rahul,Support,Ahmedabad,43,14,1763439,81685,2.2,18,2025-09-13
203,Riya,Operations,Kolkata,30,5,338219,85400,4.8,2,2020-08-21
204,Rohan,Operations,Hyderabad,34,10,1379479,81075,4.7,22,2019-03-04
706,Priya,Operations,Kolkata,36,15,1654743,149209,1.9,7,2015-02-14
206,Sneha,Operations,Hyderabad,27,4,260866,154271,4.9,5,2021-11-16
207,Shrey,Marketing,Mumbai,39,13,848559,179318,1.2,24,2016-11-19
208,Ananya,IT,Mumbai,32,5,618655,19526,5.0,12,2022-03-24
209,Meera,Marketing,Kolkata,40,10,1514127,38128,4.7,10,2019-08-21
290,Aditya,HR,Hyderabad,40,16,1150162,181831,1.4,3,2015-04-16
211,Rohan,Support,Chennai,32,11,1794799,98371,4.2,18,2025-04-06
212,Priya,HR,Mumbai,48,19,937712,32737,2.6,3,2017-03-16
213,Ishita,IT,Pune,37,10,743923,127109,4.0,10,2019-10-24
214,Pooja,Operations,Pune,44,20,380284,185056,1.5,9,2017-07-22
215,Rohan,Finance,Chennai,28,3,1020795,171120,1.9,4,2022-03-15
216,Rohan,Support,Delhi,56,28,1377256,184088,4.3,24,2018-11-25
217,Meera,Marketing,Hyderabad,54,26,1357659,194488,2.4,18,2016-01-27
218,Reyansh,Operations,Kolkata,57,28,564263,53132,2.3,16,2022-02-22
219,Vivaan,Marketing,Kolkata,26,0,1184244,24584,2.8,16,2021-08-19
220,Vivaan,Sales,Ahmedabad,40,19,1080364,76704,4.3,23,2018-10-03
221,Sai,Support,Bengaluru,25,0,376365,28092,4.9,15,2015-05-14
222,Meera,HR,Ahmedabad,47,21,1052117,127581,4.5,12,2021-02-22
223,Aarav,Finance,Kolkata,28,5,1376712,113037,3.1,23,2018-01-25
224,Riya,HR,Delhi,55,28,1365545,109425,4.3,7,2022-06-05
225,Karan,Marketing,Mumbai,23,0,1539587,14101,2.0,2,2016-10-02
226,Ananya,HR,Ahmedabad,36,15,1093611,125071,1.9,6,2015-03-17
227,Amit,Finance,Pune,57,27,1660401,94060,1.9,4,2025-09-08
228,Neha,Operations,Chennai,24,0,1490815,55910,3.5,13,2023-08-02
229,Meera,Sales,Hyderabad,54,28,1710264,119137,2.6,9,2021-03-25
230,Meera,Marketing,Bengaluru,35,10,1733896,47840,4.2,1,2023-07-14
231,Meera,Operations,Hyderabad,45,21,784764,63303,2.3,2,2022-06-03
232,Ishita,Operations,Hyderabad,24,0,1040978,186599,3.4,1,2016-04-26
233,Vihaan,Operations,Kolkata,51,27,948276,89478,4.8,0,2018-04-24
234,Ananya,Sales,Kolkata,36,6,1725909,63611,2.6,7,2023-06-25
235,Sneha,Support,Ahmedabad,55,29,896808,78566,2.4,15,2022-02-26
236,Meera,Marketing,Chennai,34,8,906245,118509,1.2,7,2017-01-09
237,Priya,Finance,Kolkata,39,16,661443,96472,1.9,18,2018-08-18
238,Meera,Operations,Mumbai,52,24,602811,102320,1.7,23,2023-08-06
239,Shrey,IT,Bengaluru,54,33,405882,185168,1.2,0,2021-03-27
240,Sneha,Operations,Kolkata,21,0,1310598,129540,2.5,19,2025-11-20
194,Pooja,Support,Kolkata,41,11,918005,52598,2.6,19,2019-10-11
242,Rohan,Marketing,Pune,53,26,-inf,38053,4.7,16,2017-04-07
243,Shrey,Finance,Delhi,43,18,1082352,30714,2.5,12,2022-10-08
244,Sai,IT,Kolkata,23,1,1099930,109421,2.5,15,2015-11-01
245,Ishita,Sales,Pune,48,22,1436687,34998,4.6,1,2018-04-28
246,Priya,IT,Hyderabad,23,1,1685351,83498,4.6,18,2025-01-06
159,Rohan,Sales,Delhi,28,3,748367,88944,1.5,7,2021-11-26
248,Neha,IT,Delhi,55,29,1054983,46687,4.2,22,2016-09-24
249,Priya,IT,Pune,48,24,409421,99284,3.4,19,2024-07-25
250,Ishita,Operations,Chennai,49,21,728440,103273,3.2,12,2021-03-22
251,Arjun,Operations,Chennai,26,0,869455,74605,3.9,2,2019-03-13
252,Riya,IT,Bengaluru,41,15,473453,33991,1.0,9,2022-06-25
253,Aditya,Finance,Delhi,26,3,1153829,127661,3.2,16,2021-02-01
254,Meera,HR,Bengaluru,59,29,930379,110987,1.0,13,2021-02-24
255,Amit,Finance,Chennai,45,22,541168,80495,2.2,15,2017-02-06
256,Rohan,HR,Kolkata,40,12,411315,104666,2.0,7,2025-08-20
257,Priya,Sales,Ahmedabad,27,4,888914,11774,4.8,10,2024-07-26
258,Sai,Sales,Ahmedabad,48,18,535473,88757,2.3,22,2018-08-11
259,Ishita,HR,Bengaluru,39,11,1457706,73550,2.3,8,2021-06-04
595,Neha,Support,Chennai,55,31,1639337,55458,2.9,6,2023-07-27
261,Rahul,IT,Kolkata,52,29,1578201,89385,2.0,21,2017-12-14
262,Neha,Operations,Delhi,59,31,1471054,115068,3.1,22,2021-09-02
263,Rahul,Support,Ahmedabad,27,3,1629090,184245,2.4,20,2024-01-19
264,Ishita,HR,Kolkata,48,26,272120,35849,2.0,16,2023-09-19
265,Sneha,IT,Pune,44,17,1221113,188141,3.4,16,2017-06-01
266,Sneha,Finance,Kolkata,47,25,493415,47139,2.4,10,2022-04-17
267,Vihaan,IT,Ahmedabad,27,0,1764131,192652,2.8,2,2019-01-26
268,Karan,HR,Chennai,27,4,761522,145264,1.7,5,2020-09-14
269,Ishita,Sales,Chennai,32,9,1593181,182309,2.7,0,2024-04-15
270,Meera,HR,Ahmedabad,21,0,681561,82966,4.0,25,2016-10-04
271,Rohan,Sales,Chennai,41,17,1209552,39872,2.0,15,2023-11-11
272,Ananya,Marketing,Delhi,58,,979650,102270,4.4,19,2017-11-23
273,Pooja,Sales,Chennai,29,3,497173,72540,2.2,5,2020-12-05
274,Sai,Marketing,Bengaluru,59,36,1455455,110587,2.7,15,2025-09-23
275,Neha,IT,Kolkata,52,27,544223,59046,2.3,14,2024-01-28
276,Amit,Operations,Kolkata,29,5,1055189,157215,3.0,15,2021-11-16
277,Riya,HR,Pune,52,29,423372,158215,1.1,24,2018-05-02
278,Meera,Support,Ahmedabad,31,3,1436254,139843,3.2,3,2024-02-09
279,Shrey,Finance,Mumbai,55,34,1757810,125701,3.2,13,2016-12-27
280,Ishita,Operations,Ahmedabad,49,24,981018,32802,2.8,3,2018-04-26
12,Aarav,Operations,Delhi,59,37,1056915,110039,3.4,14,2023-05-18
282,Pooja,Operations,Delhi,59,30,603112,94843,4.9,9,2019-10-09
283,Priya,Support,Hyderabad,29,2,374331,82698,4.5,4,2017-04-05
284,Aditya,Operations,Delhi,46,18,548155,161368,3.5,20,2021-07-15
285,Ishita,IT,Delhi,46,17,833481,192112,4.7,11,2022-08-11
286,Priya,Support,Pune,50,24,382814,150096,2.6,13,2018-08-09
287,Vivaan,IT,Delhi,42,13,1462014,44234,inf,15,2020-11-25
288,Arjun,Operations,Pune,50,29,510544,51414,2.8,0,2021-04-23
289,Sai,IT,Chennai,31,6,445748,181596,2.4,2,2020-11-21
290,Aditya,HR,Hyderabad,40,16,1150162,181831,1.4,3,2015-04-16
291,Sneha,IT,Hyderabad,54,26,269476,12113,3.8,3,2021-12-05
292,Arjun,Operations,Bengaluru,45,23,1782521,36850,1.4,11,2019-03-13
753,Rohan,Sales,Delhi,44,15,669160,138351,2.8,12,2022-05-19
21,Vivaan,Operations,Delhi,33,11,453278,182748,2.7,13,2021-08-28
295,Rohan,Marketing,Pune,43,16,909561,46655,2.0,20,2016-04-18
296,Vivaan,Support,Hyderabad,22,0,680850,145724,3.4,6,2021-05-21
297,Neha,Finance,Bengaluru,52,25,486440,73198,3.0,19,2016-09-01
298,Ishita,IT,Mumbai,45,15,1132614,105790,3.2,5,2022-02-01
299,Pooja,Support,Chennai,37,13,333522,25851,4.8,12,2023-05-21
300,Ananya,IT,Hyderabad,48,21,422863,177913,3.1,19,2017-05-03
971,Karan,IT,Delhi,29,0,502401,20758,3.3,20,2018-04-23
302,Vivaan,Finance,Bengaluru,36,15,762711,32600,4.7,3,2022-10-20
303,Pooja,Support,Pune,28,7,1734575,45969,3.8,5,2022-06-17
304,Amit,Finance,Delhi,31,5,516192,80454,3.9,3,2015-06-26
305,Ishita,HR,Ahmedabad,37,7,1566031,30203,3.0,16,2020-01-16
306,Aarav,IT,Mumbai,31,6,465807,160447,3.7,3,2018-12-17
307,Amit,HR,Ahmedabad,36,15,1239362,105414,2.5,4,2017-01-18
308,Pooja,Operations,Mumbai,36,9,1760553,93869,2.1,2,2024-06-04
309,Ananya,Finance,Delhi,32,8,1331656,22039,4.8,2,2022-05-25
310,Shrey,Sales,Ahmedabad,56,28,266712,106709,1.8,18,2019-12-20
311,Aarav,HR,Ahmedabad,58,30,659830,153277,4.0,7,2017-01-14
312,Pooja,HR,Chennai,21,0,253066,182308,2.5,23,2019-02-07
313,Neha,Sales,Delhi,52,31,548578,196555,2.1,1,2018-09-14
314,Vivaan,Sales,,58,36,1309958,44999,3.5,12,2016-10-19
315,Riya,HR,Delhi,36,11,797337,92577,4.7,12,2020-06-15
316,Amit,IT,Ahmedabad,33,10,1476221,38566,1.6,5,2022-08-11
317,Ananya,Support,Mumbai,34,6,896568,131463,2.1,3,2016-03-26
318,Ananya,Finance,Bengaluru,34,8,561057,33910,3.8,11,2021-09-02
319,Arjun,IT,Mumbai,22,0,1198334,155739,4.0,,2016-08-04
320,Aditya,Marketing,Pune,24,0,524129,61939,4.3,11,2025-11-21
321,Priya,IT,Mumbai,25,4,385207,61839,4.6,14,2017-02-28
322,Rahul,Operations,Chennai,50,29,602298,160440,2.7,23,2021-08-01
323,Rohan,Marketing,Hyderabad,32,6,700292,59060,2.1,14,2017-01-20
324,Amit,HR,Hyderabad,39,11,1114010,154359,2.9,2,2019-07-05
325,Pooja,Finance,Chennai,55,34,1052156,197005,2.4,17,2022-06-19
326,Sneha,Marketing,Ahmedabad,38,15,304658,93591,3.4,0,2019-01-26
978,Vivaan,Support,Hyderabad,58,34,584757,36249,2.0,7,2019-09-27
328,Neha,Marketing,Mumbai,57,30,994079,55537,1.7,18,2020-12-23
329,Sai,Sales,Mumbai,43,13,1431968,47251,3.3,6,2022-09-10
330,Rohan,HR,Bengaluru,26,5,737846,167722,1.9,16,2022-01-11
331,Pooja,Support,Ahmedabad,42,19,928614,25612,1.1,18,2017-02-28
332,Arjun,HR,Chennai,25,0,1727523,183575,2.6,3,2020-05-11
333,Ishita,Support,Bengaluru,52,26,615329,195383,4.9,22,2024-06-08
334,Rahul,Support,Mumbai,45,20,1789299,190485,2.2,5,2015-12-19
335,Priya,Operations,Delhi,32,2,917349,170269,1.9,18,2016-08-05
336,Priya,Sales,Mumbai,36,10,920079,54010,3.5,,2025-11-24
337,Vivaan,Sales,Kolkata,37,13,773325,191711,1.3,8,2016-12-01
651,Rahul,Finance,Kolkata,60,34,1793002,24368,3.1,21,2020-01-04
339,Priya,HR,Chennai,31,3,404579,18758,2.2,10,2019-02-03
340,Amit,Operations,Bengaluru,31,9,1397239,34406,2.4,19,2022-12-01
1197,Priya,Operations,Hyderabad,21,0,1697868,64846,4.0,25,2022-09-16
342,Vivaan,Finance,Mumbai,39,14,748174,35143,1.2,18,2023-08-05
343,Reyansh,HR,Pune,48,26,867714,183544,3.5,15,2018-02-01
344,Aditya,Operations,Chennai,26,0,492239,90832,4.1,15,2022-11-09
432,Amit,Finance,Ahmedabad,41,14,603662,11266,2.3,25,2018-12-24
346,Meera,Sales,Hyderabad,57,36,566943,192575,3.7,2,2025-06-26
347,,Sales,Pune,56,35,1061820,146991,2.7,17,2025-08-19
348,Arjun,IT,Kolkata,26,0,1748007,19103,3.0,16,2024-11-20
